Network Category,Time Step,Robot ID,X,Y,Degree,SD Est
12-Fully connection,1,0,0,12.5,11,11
12-Fully connection,1,1,15,25,11,11
12-Fully connection,1,2,30,15,11,11
12-Fully connection,1,3,17.5,0,11,11
12-Fully connection,1,4,30,-15,11,11
12-Fully connection,1,5,15,-25,11,11
12-Fully connection,1,6,0,-12.5,11,11
12-Fully connection,1,7,-15,-25,11,11
12-Fully connection,1,8,-30,-15,11,11
12-Fully connection,1,9,-17.5,0,11,11
12-Fully connection,1,10,-30,15,11,11
12-Fully connection,1,11,-15,25,11,11
