Time Step,Robot ID,X,Y,Degree,SD Est
1,0,-296.90576,240.20447,1,1.2
1,1,19.294209,-7.164411,0,0
1,2,-204.43175,238.15825,0,0
1,3,-168.28629,-328.02286,0,0
1,4,291.23474,210.22159,1,1
1,5,-314.75873,132.79779,0,0
1,6,25.83487,-161.15225,0,0
1,7,104.92944,231.63597,1,1.2
1,8,-160.16699,-168.48932,1,1
1,9,-5.7141085,-264.0209,0,0
1,10,196.46295,239.92537,1,1.2
1,11,269.36487,35.79763,1,1
1,12,337.97278,264.47626,0,0
1,13,-159.63751,348.53796,0,0
1,14,-71.47403,368.8531,0,0
1,15,323.63068,161.17143,1,1
1,16,-169.4847,-197.85121,1,1
1,17,141.2511,259.24792,2,1.8000001
1,18,-364.79053,289.23117,1,1.2
1,19,370.2279,356.84198,0,0
1,20,-284.81436,32.304638,0,0
1,21,322.41425,58.404175,1,1
1,22,-300.17358,286.34253,2,1.8000001
1,23,-202.11409,109.75051,0,0
2,0,-293.95792,240.76149,1,1.2
2,1,16.373325,-7.8488355,0,0
2,2,-202.40617,240.37117,0,0
2,3,-169.99031,-325.55377,0,0
2,4,293.60748,208.3858,2,1.7
2,5,-313.20148,130.23363,0,0
2,6,23.2542,-162.682,0,0
2,7,107.92446,231.4632,1,1.2
2,8,-162.92888,-169.66063,1,1
2,9,-2.8525827,-264.92184,0,0
2,10,194.74887,237.46327,1,1.2
2,11,270.31775,38.642277,1,1
2,12,335.0122,263.99155,1,1.2
2,13,-159.88806,351.5275,0,0
2,14,-74.47081,368.99213,0,0
2,15,321.79895,158.79555,1,1.2
2,16,-168.959,-194.89763,1,1
2,17,139.61034,256.7364,2,1.8000001
2,18,-362.02878,290.40283,1,1.2
2,19,367.36392,355.94885,0,0
2,20,-287.81433,32.316803,0,0
2,21,325.35718,57.82183,1,1
2,22,-299.4146,283.44012,2,1.8000001
2,23,-200.9487,112.51491,0,0
3,0,-290.995,241.23167,1,1.2
3,1,13.797579,-9.386863,0,0
3,2,-200.1571,242.35654,0,0
3,3,-171.63043,-323.0418,0,0
3,4,296.5524,207.81349,2,1.8000001
3,5,-311.15686,128.03828,0,0
3,6,21.329138,-164.98291,0,0
3,7,110.83743,232.18056,1,1.2
3,8,-165.39034,-171.37563,1,1
3,9,-0.07789588,-266.0625,0,0
3,10,193.10507,234.9537,1,1.2
3,11,271.6928,41.30859,1,1
3,12,332.03275,264.34195,1,1.2
3,13,-160.5354,354.45682,0,0
3,14,-77.44357,369.39545,0,0
3,15,319.74548,156.60849,1,1.2
3,16,-167.75452,-192.15004,1,1
3,17,138.12181,254.13173,2,1.8000001
